"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EventFolder\{672335e9-abc4-4188-b3f6-6a58774c15c5}.xml", "XML", 0, 0, 11, 0, 1, 12
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EventFolder\{9ad83285-2538-4f04-9a90-6f7e28227889}.xml", "XML", 0, 0, 11, 0, 1, 12
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EventFolder\{a78a5655-cf63-40a3-9711-5897bf958bc4}.xml", "XML", 0, 0, 11, 0, 1, 12
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{0edaf243-cfe8-4655-910a-593ec6f793f4}.xml", "XML", 0, 0, 1204, 0, 1, 1205
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{47531d85-65c9-4e26-9bf0-a48e65cbea05}.xml", "XML", 0, 0, 495, 0, 1, 496
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{644189a2-40be-401d-b1a3-6c1278a49fc6}.xml", "XML", 0, 0, 269, 0, 1, 270
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{814dfd18-5bf7-482f-bd30-994f210da3d6}.xml", "XML", 0, 0, 309, 0, 1, 310
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{bbc29955-6223-404b-bac8-183c06a1dc40}.xml", "XML", 0, 0, 281, 0, 1, 282
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Event\{c72efa26-32d2-47b7-9398-8f149c9bbd19}.xml", "XML", 0, 0, 274, 0, 1, 275
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Group\{4808e653-bb85-4505-9f25-1ee4c3d95631}.xml", "XML", 0, 0, 24, 0, 1, 25
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Group\{a63c4ede-5c6c-4e7b-adf2-668b60cec663}.xml", "XML", 0, 0, 24, 0, 1, 25
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Group\{e2896b49-cc65-4c83-8d43-cbf5ad31e79a}.xml", "XML", 0, 0, 24, 0, 1, 25
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Master.xml", "XML", 0, 0, 34, 0, 1, 35
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Mixer.xml", "XML", 0, 0, 11, 0, 1, 12
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPresetFolder\{e17bc097-402e-48cf-9781-870d0d3b3a7a}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{293989e6-3715-486a-8a52-72fb587c5ad5}.xml", "XML", 0, 0, 22, 0, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{5150ccdc-0fa8-4027-af08-fa65bed56275}.xml", "XML", 0, 0, 28, 0, 1, 29
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{691e5cc1-6290-415f-98b6-e2d229e779ce}.xml", "XML", 0, 0, 31, 0, 1, 32
